id,Yield
74051,7.591450504
74052,7.835341002
74053,10.27748709
74054,9.968946247
74055,7.549140604
74056,13.01873475
74057,11.30367261
74058,7.99631418
74059,13.83357319
74060,10.55828646
74061,13.23366607
74062,10.27686178
74063,4.312459421
74064,12.93683709
74065,5.362082229
74066,6.079888883
74067,11.74680715
74068,13.40988155
74069,11.28774391
74070,11.18745735
74071,16.35685112
74072,9.173413622
74073,8.669841228
74074,9.085250071
74075,12.49315972
74076,10.32237351
74077,14.09233391
74078,12.6486516
74079,8.953152498
74080,11.8060056
74081,11.94321598
74082,11.92491035
74083,11.92024417
74084,12.66728726
74085,11.67356006
74086,7.391028955
74087,9.746363452
74088,11.1344879
74089,8.918515569
74090,10.46829244
74091,8.107542762
74092,9.774783505
74093,10.84218582
74094,10.0991406
74095,16.18432888
74096,12.64969894
74097,6.480340169
74098,5.972673786
74099,13.37230277
74100,10.1302046
74101,11.23780435
74102,9.394313113
74103,11.42247845
74104,10.07447294
74105,8.900051334
74106,12.21588605
74107,10.23661064
74108,5.217529827
74109,10.36548161
74110,5.587203974
74111,11.38004273
74112,6.883869825
74113,8.577275836
74114,11.81392227
74115,9.627154702
74116,11.80900666
74117,12.86622981
74118,10.37497275
74119,8.807409976
74120,15.51598915
74121,10.51595367
74122,7.055937267
74123,13.01036178
74124,5.183491661
74125,7.49334798
74126,7.321624865
74127,11.11404326
74128,10.69587261
74129,9.810944101
74130,10.2791703
74131,11.29301756
74132,7.519478147
74133,10.5545818
74134,11.47562511
74135,4.642340409
74136,6.413481968
74137,5.649824172
74138,16.27507539
74139,11.67203912
74140,14.96153477
74141,9.571225406
74142,11.49344429
74143,15.06009945
74144,14.96831419
74145,12.81576974
74146,7.632132418
74147,10.77132788
74148,5.626006716
74149,10.95495237
74150,8.244355232
74151,9.063451566
74152,14.25268435
74153,11.85521723
74154,8.291635824
74155,6.204301473
74156,13.41054092
74157,12.54294776
74158,12.65887389
74159,10.05059366
74160,14.72049922
74161,10.47598618
74162,10.31175283
74163,10.50890739
74164,9.749296523
74165,10.66146235
74166,9.487970791
74167,11.83282075
74168,11.37765196
74169,11.25067317
74170,11.04828941
74171,12.66723699
74172,11.62693972
74173,8.129799918
74174,11.28925049
74175,9.805249151
74176,9.753134059
74177,11.76165141
74178,12.64207857
74179,13.90565236
74180,5.894349406
74181,8.914196035
74182,11.4037152
74183,7.192641604
74184,12.35610837
74185,12.54233932
74186,10.09071737
74187,9.874216091
74188,13.12582732
74189,6.154051212
74190,9.470509094
74191,10.89299279
74192,12.48354015
74193,9.801972112
74194,4.325752644
74195,12.02870426
74196,13.16261756
74197,10.01615498
